,Characters,Dialogue
SCENE 1,"DOCTOR, GENTLEWOMAN",Talk about Lady Macbeth's craziness
SCENE 2,"MENTEITH, ANGUS, CAITHNESS, LENNOX",Organize to meet near Birnam Wood.
SCENE 3,"MACBETH, DOCTOR",Macbeth asks about Malcolm's origin
SCENE 4,"SERVANT, MACBETH",Tells him there are ten thousand men at his castle's gate.
SCENE 5,"MALCOLM , OLD SIWARD , MACDUFF, MENTEITH",Malcolm advises that everyone should hide behind a wood bough so the enemy will not know how many soldiers there are.
SCENE 6,"OLD SEYTON, MACBETH",He tells him Lady Macbeth is dead.
SCENE 7,"MESSANGER, MACBETH",He tells him the wood began moving.
SCENE 8,"MALCOLM, SIWARD, MACDUFF",Malcolm promises to fight with Siward for Macduff until they cannot anymore.
